Motor,Traccion,Peso,Potencia,Transmision,Aerodinamica,Marca,Performance
Aspirado,Trasera,Medio,Baja,Manual,Alta,Generalista,Alta
Turbo,Delantera,Ligero,Alta,Manual,Media,Premium,Baja
Hibrido,Integral,Ligero,Baja,Manual,Alta,Generalista,Alta
Turbo,Delantera,Pesado,Media,Manual,Alta,Deportiva,Baja
Turbo,Integral,Medio,Alta,Automatica,Alta,Generalista,Alta
Hibrido,Trasera,Ligero,Baja,Automatica,Baja,Deportiva,Alta
Hibrido,Delantera,Ligero,Baja,Manual,Baja,Deportiva,Baja
Hibrido,Integral,Medio,Media,Automatica,Media,Premium,Alta
Turbo,Delantera,Ligero,Alta,Automatica,Media,Generalista,Alta
Aspirado,Delantera,Medio,Media,Automatica,Alta,Deportiva,Baja
Turbo,Integral,Ligero,Media,DCT,Alta,Generalista,Alta
Hibrido,Integral,Medio,Baja,DCT,Baja,Premium,Alta
Aspirado,Trasera,Ligero,Media,DCT,Baja,Generalista,Alta
Hibrido,Integral,Pesado,Baja,Automatica,Media,Premium,Baja
Hibrido,Integral,Ligero,Media,DCT,Alta,Generalista,Baja
Turbo,Integral,Ligero,Baja,Manual,Media,Premium,Alta
Aspirado,Trasera,Ligero,Media,DCT,Baja,Premium,Alta
Aspirado,Delantera,Medio,Baja,DCT,Media,Generalista,Baja
Turbo,Trasera,Ligero,Alta,Manual,Alta,Generalista,Alta
Aspirado,Delantera,Ligero,Media,DCT,Alta,Deportiva,Alta
Aspirado,Delantera,Pesado,Media,Manual,Baja,Generalista,Baja
Hibrido,Delantera,Pesado,Alta,DCT,Baja,Generalista,Baja
Aspirado,Integral,Ligero,Media,Automatica,Media,Deportiva,Alta
Turbo,Integral,Ligero,Alta,DCT,Baja,Deportiva,Alta
Turbo,Delantera,Ligero,Media,Automatica,Alta,Deportiva,Alta
Hibrido,Integral,Ligero,Baja,DCT,Media,Generalista,Alta
Turbo,Trasera,Medio,Media,DCT,Media,Premium,Baja
Hibrido,Integral,Pesado,Media,DCT,Baja,Deportiva,Alta
Turbo,Delantera,Medio,Alta,Automatica,Baja,Deportiva,Baja
Aspirado,Delantera,Ligero,Baja,DCT,Baja,Premium,Baja
Aspirado,Trasera,Pesado,Baja,Automatica,Media,Generalista,Baja
Turbo,Trasera,Medio,Baja,Manual,Alta,Generalista,Alta
Hibrido,Trasera,Ligero,Media,DCT,Media,Deportiva,Alta
Aspirado,Integral,Pesado,Media,DCT,Alta,Deportiva,Baja
Turbo,Integral,Ligero,Media,Automatica,Baja,Deportiva,Alta
Hibrido,Integral,Pesado,Alta,Automatica,Alta,Premium,Alta
Turbo,Integral,Ligero,Media,Automatica,Media,Deportiva,Alta
Hibrido,Integral,Medio,Media,Automatica,Alta,Generalista,Alta
Turbo,Trasera,Ligero,Baja,DCT,Baja,Deportiva,Alta
Hibrido,Integral,Pesado,Media,Manual,Baja,Generalista,Baja
Turbo,Delantera,Pesado,Alta,Automatica,Baja,Deportiva,Baja
Turbo,Trasera,Ligero,Media,Manual,Media,Generalista,Alta
Hibrido,Integral,Medio,Baja,DCT,Alta,Deportiva,Alta
Aspirado,Integral,Pesado,Baja,Automatica,Media,Generalista,Baja
Turbo,Delantera,Pesado,Alta,DCT,Alta,Generalista,Alta
Turbo,Trasera,Ligero,Media,Automatica,Baja,Deportiva,Alta
Aspirado,Delantera,Pesado,Baja,Automatica,Media,Deportiva,Baja
Turbo,Trasera,Ligero,Media,Manual,Alta,Generalista,Alta
Turbo,Trasera,Medio,Media,Automatica,Baja,Generalista,Baja
Hibrido,Integral,Medio,Baja,Automatica,Media,Generalista,Baja
Hibrido,Delantera,Medio,Baja,Manual,Media,Deportiva,Baja
Aspirado,Integral,Medio,Alta,Automatica,Alta,Premium,Alta
Aspirado,Trasera,Ligero,Baja,Automatica,Baja,Premium,Baja
Turbo,Integral,Ligero,Baja,Manual,Media,Premium,Alta
Hibrido,Trasera,Ligero,Baja,DCT,Baja,Premium,Alta
Turbo,Integral,Medio,Alta,Automatica,Media,Deportiva,Alta
Aspirado,Integral,Pesado,Alta,DCT,Media,Generalista,Alta
Hibrido,Trasera,Ligero,Alta,Manual,Alta,Premium,Alta
Turbo,Integral,Ligero,Media,Automatica,Media,Premium,Alta
Hibrido,Delantera,Medio,Baja,DCT,Alta,Premium,Alta
Turbo,Integral,Ligero,Media,Manual,Baja,Deportiva,Alta
Turbo,Delantera,Ligero,Alta,DCT,Alta,Premium,Alta
